tmc,NORMALIZEDSTART
129+08449,20424.8391
129-10038,10645.6505
129+08941,39718.8227
129+05539,13495.3093
129-08724,11997.548
129-08368,11959.5126
129-08168,16157.4182
129+09023,23108.6279
129-09022,23118.1358
129+08167,10955.8451
129+06375,52041.5839
129-08517,47072.2235
129+09032,40202.4893
129-06845,10506.43
129-08127,14211.2512
129-08789,5937.8184
129+04809,7329.5114
129-08083,52388.5504
129+09087,6108.511
129+05607,23594.7981
129+08318,29086.5153
129+10213,3898.0315
129+08798,4080.4991
129-08823,9420.9927
129+04869,3982.184
129+09056,18141.0467
129+04915,1836.591
129+08061,5872.0095
129-08777,3242.5028
129-05317,8960.0761
129-10229,14535.8331
129+04817,18166.4572
129-08241,8232.6793
129+08997,12464.3634
129-08834,15803.286
129+06475,10752.6619
129-04751,18473.7894
129-08596,13427.9058
129-04747,23211.5047
129+05367,4074.1951
129-08307,7306.5995
129-06483,24738.9758
129-05790,24919.6241
129+08436,2390.6085
129+08403,4647.3692
129+08161,1652.3733
129-04810,8913.3847
129-09079,2589.4185
129+08451,19465.1479
129+08456,14851.5927
129-04808,7401.8184
129+05674,7825.5932
129-08456,12901.5422
129+05697,41362.1085
129-05535,5801.7603
129-08067,25095.619
129-08173,5133.6956
129-08167,14710.018
129+05601,34669.9323
129-04831,10861.1035
129+10228,13407.2777
129+10033,4194.0267
129-08833,14347.7038
129+10217,1947.3618
129+10340,3293.6809
129-09909,3262.786
129+08129,4749.2266
129-09026,31328.9577
129-05386,41763.864
129-06371,37400.4783
129-08666,9477.3318
129+08974,24279.0311
129-08679,13307.2074
129+08316,24591.1283
129+08822,6346.9507
129-09087,4099.5928
129-08765,25385.613
129-05707,66282.1172
129+05378,27397.6475
129+05603,31719.8691
129+10205,19408.1139
129-08441,2122.5973
129+08940,37578.7736
129+05580,22646.7575
129-04819,1579.8518
129+09282,14492.2548
129+08068,25125.2346
129+08767,22921.6176
129-04833,12235.8064
129+08770,16489.6277
129+05574,8938.4081
129+05791,25102.9409
129+10054,18657.7815
129-08112,35731.9077
129+08240,4893.768
129-04744,965.3372
129-05374,19940.3559
129+08181,15188.4192
129-08944,12587.6633
129+10221,7365.1718
129-05793,18585.6581
129-04812,11390.8458
129+10249,23571.5653
129-08924,6145.1749
129-08309,12188.817
129+08724,10260.5386
129+09079,4603.8265
129-10224,10716.8588
129+08322,33316.597
129+05645,20617.6156
129-09898,34484.0698
129-10034,6662.3653
129-08702,15630.3738
129-08596,14196.8807
129+08796,14073.3698
129-05642,11639.5705
129-08564,8623.9226
129-09943,12683.0568
129-10036,9111.2584
129-10238,16968.829
129+08114,34003.6977
129-08686,9419.5448
129-08220,22901.7941
129-05823,17681.5488
129+08069,26642.6529
129+06846,10419.8037
129-08305,2786.6584
129+10055,19947.7851
129-05825,5473.2791
129+08295,14630.6433
129-09086,6108.511
129-08082,51687.318
129+08943,9061.3745
129+08955,33479.9733
129-05824,13028.7741
129-08561,11102.0637
129+10032,3534.1717
129+08555,11307.9008
129-10250,20338.2969
129+08589,3765.3436
129+09047,1422.8434
129-05384,38299.1924
129-04890,4863.364
129+05700,49282.0522
129+10232,16749.4046
129+04832,10830.7239
129-05706,63156.4869
129-08847,15265.4113
129-08454,16322.517
129-08677,10018.5357
129-04881,8553.0276
129+06324,28140.133
129-04885,4645.1178
129-05385,39020.9733
129-06336,15764.2576
129-05595,40745.128
129-10032,4190.3129
129-10213,27502.0986
129-08841,27162.2697
129-05371,15176.4381
129+08794,10245.0896
129-08594,11457.9607
129+04750,19934.8449
129+05673,7324.131
129-08311,16114.1025
129-08674,3402.4648
129-04888,6418.6955
129+08712,4728.2962
129+05385,38127.5956
129+11334,5081.7334
129+08828,2108.654
129+09051,10014.22
129-08962,42341.5614
129+08761,33938.6277
129-04814,13843.382
129+04793,12830.5695
129+04792,11983.6587
129-04877,1043.3251
129-06484,27468.2448
129-08069,28150.8818
129+04857,20191.2521
129+08668,849.9922
129-08720,11966.9156
129-09897,35959.7559
129+05792,23584.0501
129-08060,5872.0094
129+08973,15274.8486
129+08833,12889.1611
129-08943,10459.7487
129-04813,13480.3793
129+05583,26009.7442
129+08292,10857.7882
129+08312,16127.7642
129+08763,31027.8528
129-05322,17310.8088
129-04836,16066.5912
129+04805,5520.9573
129-08443,24574.6078
129+08435,1635.8233
129+08825,15837.6329
129-08930,19183.0917
129-08177,10823.6248
129+06331,13784.0904
129-05784,23925.4539
129-08795,14235.2343
129-05315,6058.6644
129+05650,39004.5231
129+08951,26012.5343
129+08717,3901.1979
129+08976,22525.5936
129-08450,19684.7417
129+08993,8121.8731
129+08116,21543.9433
129-05583,28116.1696
129-10206,16269.0736
129-08723,10256.9277
129+07619,2156.3268
129+08710,8161.8915
129+08180,14112.0934
129-08687,10950.452
129-08761,33719.6215
129-05323,18205.8906
129+08995,11415.318
129-05787,27601.012
129-05649,34968.6057
129+08434,639.5576
129+08431,12311.8459
129-09053,16308.2953
129-08439,1426.9055
129-10201,4652.8179
129-08906,27260.3348
129+08071,29359.8877
129+09020,18018.3828
129-10094,10693.6209
129+10201,28530.8924
129-08169,19036.0653
129-10008,11992.4022
129+09050,7879.9178
129-06324,25901.7618
129+06483,20172.5117
129-05650,42075.6672
129+06473,3408.8129
129+05651,42064.3354
129+08824,9409
129+10203,23878.1979
129+09046,892.1776
129+10061,15157.9747
129-08556,11480.6178
129-04870,19730.045
129-10208,19661.4352
129+05682,7259.3425
129+08444,22743.7948
129-05703,56786.481
129+05538,12164.5078
129+05654,50037.1721
129-06326,10649.0717
129+04874,2985.6748
129+08677,8106.9434
129+06479,25223.3444
129-08318,30201.7045
129-04914,1920.4501
129+09075,10629.823
129+05789,29488.9597
129+08908,29076.4169
129+08588,2579.2349
129+11336,10312.3586
129-09568,15228.2261
129-08934,25421.7976
129-08078,47926.943
129-08837,19442.7204
129+05440,22012.7424
129-08236,2283.3477
129+05320,11939.9538
129-05572,3408.8128
129-05372,18214.5259
129+04840,18180.1532
129-09900,29930.5297
129+08084,52593.9834
129+08124,4167.1015
129+08460,5943.8431
129-10220,7388.8301
129-08799,24271.4698
129+08123,5943.1336
129-08974,19003.632
129+08848,15287.4397
129+08678,9927.7566
129-08794,11871.363
129+08952,28754.4451
129-09904,19731.7868
129+04816,16663.8885
129-09077,7768.6903
129-04835,14219.7976
129-08954,33578.1197
129+04877,1325.2356
129-08119,13921.6927
129-06420,4089.1905
129-08829,6574.4435
129+08791,7104.3108
129+06371,34887.0567
129+04819,20541.2365
129+06419,23318.7354
129-09895,39325.6093
129+05694,36220.2905
129+10202,26587.3301
129-05439,17745.1366
129-08374,6692.6327
129-05594,42216.2203
129-06290,47072.2235
129-04827,8917.811
129-08706,10787.7471
129-08845,1659.2665
129+08515,13391.1188
129-06475,13108.1095
129-08981,31999.6502
129-05708,67948.5836
129+05371,12579.373
129+05644,16350.823
129+06338,5473.2791
129+08238,3830.8919
129-08456,2193.2225
129-08434,1744.264
129+08958,36635.0023
129-08460,4757.3122
129+08838,19111.965
129+10094,6971.241
129-08165,9706.3734
129-08587,2580.6
129-08822,8179.9148
129-08771,12952.4864
129-08840,24579.7461
129+09901,29936.0347
129+08120,13923.6978
129+08593,9171.2546
129-08371,9900.9399
129-08740,72226.1223
129-05380,31569.9272
129+10009,12009.7021
129-05696,41478.6545
129+04829,9008.08
129+04821,3318.1955
129+08821,3400.2363
129+08680,13223.7452
129+08310,12195.6555
129-08839,22859.7723
129-04749,20008.9399
